"Risk Object","New Risk Object"
"Node Name","Energy gap per person (kcal_yr)"
"Node Id","Energy_gap_per_person__kcal_yr_"
""
"Summary Statistics"
"Mean","-584613.0206951549"
"Median","341073.485912799"
"Variance","8.094632553648739E12"
"Standard Deviation","2845106.7736815675"
"Lower Percentile [25.0]","-50495.20879335229"
"Upper Percentile [75.0]","712509.1601750838"
""
"Lower Bound","Upper Bound","Value"
"-1.0E8","-7.822421875E7","1.5018223905928545E-5"
"-7.822421875E7","-3.9162109375E7","2.798641949242173E-5"
"-3.9162109375E7","-1.96310546875E7","1.3993209746210864E-5"
"-1.96310546875E7","-1.0E7","6.900261190942326E-6"
"-1.0E7","-9865527.34375","9.634421507015241E-8"
"-9865527.34375","-100000.0","0.22107359516752803"
"-100000.0","100000.0","0.11660451310032242"
"100000.0","1000000.0","0.6057576468573641"
"1000000.0","5500000.0","0.05568971794399873"
"5500000.0","1.0E7","8.105324722361404E-4"
