"Risk Object","New Risk Object"
"Node Name","Iron gap per person (mg_yr)"
"Node Id","Iron_gap_per_person__mg_yr_"
""
"Summary Statistics"
"Mean","-845.1867373835524"
"Median","-332.1475990116493"
"Variance","2.1499243454248387E7"
"Standard Deviation","4636.727666603721"
"Lower Percentile [25.0]","-2961.3248475261103"
"Upper Percentile [75.0]","2005.6889562443548"
""
"Lower Bound","Upper Bound","Value"
"-32500.0","-21250.0","0.0017353043500801066"
"-21250.0","-10000.0","0.02932742776154544"
"-10000.0","-7750.0","0.029661703731600823"
"-7750.0","-5500.0","0.05429756925935409"
"-5500.0","-3250.0","0.109728872120721"
"-3250.0","-1000.0","0.1967974235424026"
"-1000.0","1000.0","0.23493723798311053"
"1000.0","3250.0","0.20921730969475213"
"3250.0","5500.0","0.08400481577263563"
"5500.0","7750.0","0.03717029416046863"
"7750.0","10000.0","0.012218513773083568"
"10000.0","21250.0","9.03527850245464E-4"
