"Risk Object","New Risk Object"
"Node Name","Zinc gap per person (mg_yr)"
"Node Id","Zinc_gap_per_person"
""
"Summary Statistics"
"Mean","2217.990228831503"
"Median","2299.026837392177"
"Variance","1599257.3416260863"
"Standard Deviation","1264.617468496338"
"Lower Percentile [25.0]","1263.7287041369993"
"Upper Percentile [75.0]","3207.810468501488"
""
"Lower Bound","Upper Bound","Value"
"-5500.0","-3250.0","1.4190778156961104E-4"
"-3250.0","-1000.0","0.004121853283218478"
"-1000.0","-450.0","0.009738825218029115"
"-450.0","100.0","0.028417902273677756"
"100.0","550.0","0.0547473198574215"
"550.0","1000.0","0.09093933173091186"
"1000.0","2125.0","0.2640192980317291"
"2125.0","3250.0","0.3094796058955099"
"3250.0","3812.5","0.1388334948966093"
"3812.5","4375.0","0.0839717779390922"
"4375.0","4937.5","0.015097502150393214"
"4937.5","5500.0","4.911809418380312E-4"
