"Risk Object","New Risk Object"
"Node Name","Zinc gap per person (mg_yr)"
"Node Id","Zinc_gap_per_person"
""
"Summary Statistics"
"Mean","1168.962375062952"
"Median","1423.6783220213895"
"Variance","4723740.821098038"
"Standard Deviation","2173.4168539647517"
"Lower Percentile [25.0]","223.47115948699374"
"Upper Percentile [75.0]","2572.4511646928468"
""
"Lower Bound","Upper Bound","Value"
"-55000.0","-10000.0","8.188231329381163E-4"
"-10000.0","-5500.0","0.0046259775155392995"
"-5500.0","-3250.0","0.02170957947417338"
"-3250.0","-2125.0","0.02911653894563744"
"-2125.0","-1000.0","0.054490881365054394"
"-1000.0","-450.0","0.04617016614919044"
"-450.0","100.0","0.07028054426871905"
"100.0","550.0","0.08305073151934496"
"550.0","1000.0","0.09972146567472467"
"1000.0","2125.0","0.23901908166049743"
"2125.0","2687.5","0.1269643991863877"
"2687.5","3250.0","0.10975324863540367"
"3250.0","3812.5","0.07826722087729067"
"3812.5","4375.0","0.03142767363565156"
"4375.0","4937.5","0.004391345625256049"
"4937.5","5500.0","1.9232233419118092E-4"
